DATE,COMNAM,PERMNO,PERMCO
19860214,NEW MILFORD SAVINGS BANK,10056,8005
19871020,NEWMIL BANCORP INC,10056,8005
19251231,NATIONAL ACME CO,10057,20020
19681028,ACME CLEVELAND CORP,10057,20020
19911001,ACME CLEVELAND CORP NEW,10057,20020
19721214,A B K C O INDUSTRIES INC,10058,20
19860224,ORANGE FREE STATE INVESTMENT LTD,10059,8006
19860224,FREE STATE CONSOL GOLD CO LTD,10060,8007
19860219,UNITED SAVINGS BANK VIENNA VA,10061,8008
19860219,NORTHEAST OHIO AXLE INC,10062,8009
19860513,N E O A X INC,10062,8009
19891115,ENVIROSOURCE INC,10062,8009
19860219,N M R CENTERS INC,10063,7842
19870514,AMERICAN HEALTH SVCS CORP,10063,7842
19860220,TYCO TOYS INC,10064,8010
19251231,ADAMS EXPRESS CO,10065,20023
19830825,ABM COMPUTER SYS,10066,6331
19870227,FRANKLIN TELECOMMUNICATIONS CORP,10066,6331
20080122,FRANKLIN WIRELESS CORP,10066,6331
19860220,HYGEIA SCIENCES INC,10067,8011
19860221,AMERICAN PROPERTY GROUPS INC,10068,8012
19860224,ACA JOE INTERCON LTD,10069,8013
19860227,DIGITEXT INC,10070,8014
19860228,ALEX BROWN INC,10071,8015
19860228,DEWS LABORATORIES INC,10072,8016
19880112,SUMMA RX LABORATORIES INC,10072,8016
19251231,ADVANCE RUMELY CO,10073,22162
19310209,ADVANCE RUMELY CORP,10073,22162
19820118,A B S INDUSTRIES INC,10074,5271
19860303,V W R CORP,10075,8018
19950928,V W R SCIENTIFIC PRODUCTS CORP,10075,8018
19860303,SCAT HOVERCRAFT INC,10076,8019
19860410,SPROUSE REITZ STORES INC,10077,8020
19860304,SUN MICROSYSTEMS INC,10078,8021
19860304,GENERAL COMPUTER CORP,10079,8022
19860305,MOORE HANDLEY INC,10080,8024
19251231,AHUMADA LEAD CO,10081,22163
19830321,A C S ENTERPRISE INC,10082,5793
19921215,A C S ENTERPRISES,10082,5793
19860305,TEKNOWLEDGE INC,10083,8026
19890227,CIMFLEX TEKNOWLEDGE CORP,10083,8026
19860305,CRAFTMATIC CONTOUR INDS INC,10084,8027
19930719,CRAFTMATIC INDUSTRIES INC,10084,8027
19860306,UNITED INSURANCE COS INC,10085,8029
19960702,U I C I,10085,8029
19860306,L S B BANCSHARES INC SC,10086,8030
19860306,BEAUTICONTROL COSMETICS INC,10087,8031
19860306,V R BUSINESS BROKERS INC,10088,7956
19860307,SYNERCOM TECHNOLOGY INC,10089,8033
19950421,ALPHA TECHNOLOGIES GROUP INC,10089,8033
19860307,AMERICAN MOBILE SYSTEMS INC,10090,7390
19860307,INTERACTIVE TECHNOLOGIES INC,10091,8034
19860307,LEISURE CONCEPTS INC,10092,8035
19951117,4 KIDS ENTERTAINMENT INC,10092,8035
19860307,ASSOCIATED INNS & REST CO AMER,10093,8036
19871230,AIRCOA HOSPITALITY SVCS INC,10093,8036
19860307,TUESDAY MORNING INC,10094,8037
19911101,TUESDAY MORNING CORP,10094,8037
19860307,SYNERGEN INC,10095,8038
19860311,CITIZENS BANK NC,10096,8039
19860310,FACELIFTERS HOME SYSTEMS INC,10097,7907
19860311,POLY TECH INC,10098,8040
19860311,AMERICAN BIOMATERIALS CORP,10099,8041
19860311,AMERICAN CLAIMS EVALUATION INC,10100,8042
20100323,AMERICAN LEARNING CORP NY,10100,8042
19860312,PACER CORP WA,10101,8044
19251231,AIR REDUCTION INC,10102,22164
19711001,AIRCO INC,10102,22164
19770323,A C S INDUSTRIES INC,10103,52
19860312,ORACLE SYSTEMS CORP,10104,8045
19950601,ORACLE CORP,10104,8045
19860312,TOPS MARKETS INC,10105,8046
19860312,LINCOLN MUTUAL SAVINGS BANK,10106,8047
19860314,LINCOLN SAVINGS BANK CARNEGIE PA,10106,8047
19860313,MICROSOFT CORP,10107,8048
19860313,SUNGARD DATA SYSTEMS INC,10108,8049
19860313,FIRST FED S & L ASSN COEUR ID,10109,8050
19890814,MOUNTAIN WEST SAVINGS BANK F S B,10109,8050
19251231,AJAX RUBR INC,10110,22165
19721214,A D A FINANCIAL SERVICE CORP,10111,22166
19860313,IFEX INC,10112,8053
20100721,ADVISORSHARES TRUST,10113,53202
19880622,ACCLAIM ENTERTAINMENT INC,10114,9831
19860314,COMMUNITY SAVINGS BANK MA,10115,8057
19860314,HALSEY DRUG INC,10116,8028
20040813,ACURA PHARMACEUTICALS INC,10116,8028
19860317,U M B EQUITIES INC,10117,8060
19860318,CONSOLIDATED HYDRO INC,10118,8063
19860318,20TH CENTURY INDUSTRIES CA,10119,8064
19910916,20TH CENTURY INDUSTRIES,10119,8064
20000103,21ST CENTURY INSURANCE GROUP,10119,8064
19860318,PIPER JAFFRAY INC,10120,8065
19930212,PIPER JAFFRAY COS INC,10120,8065
19860318,MARINE CORP IL,10121,8066
19860318,MEDFORD SVGS BK MA,10122,8067
19870804,REGIONAL BANCORP INC,10122,8067
19930723,MEDFORD SAVINGS BANK,10122,8067
19971126,MEDFORD BANCORP INC,10122,8067
19880421,ACKERLEY COMMUNICATIONS INC,10123,9754
19970221,ACKERLEY GROUP INC,10123,9754
19860319,LEARNING TECHNOLOGY INC,10124,8070
19860320,DISCOVERY ASSOCIATES INC,10125,8055
19880928,LEOS INDUSTRIES INC,10125,8055
19860320,ONE VALLEY BANCORP WEST VA INC,10126,8072
19960502,ONE VALLEY BANCORP INC,10126,8072
19860325,PARIS BUSINESS FORMS INC,10127,8074
19860325,LA MAN CORP,10128,8075
19981103,DISPLAY TECHNOLOGIES INC,10128,8075
19251231,ALL AMER CABLES INC,10129,22167
19860325,NEWNAN FEDERAL S & L ASSN GA,10130,8076
19900116,NEWNAN SAVINGS BANK FSB,10130,8076
19960823,NEWNAN HOLDINGS INC,10130,8076
19970114,FIRST CITIZENS CORP,10130,8076
19860326,S B T CORP CT,10131,8077
19860326,NATIONAL INDUSTRIAL BANCORP INC,10132,8078
19860327,TELEQUEST INC,10133,8080
19860401,EMPIRE GAS CORP NEW,10134,8082
19860401,FIRST FEDERAL SVGS ARKANSAS FA,10135,8084
19860401,COMMUNICATION CABLE INC,10136,8085
19251231,AMERICAN WATER WORKS & ELEC INC,10137,20045
19480116,WEST PENN ELECTRIC CO,10137,20045
19601110,ALLEGHENY POWER SYSTEMS INC,10137,20045
19971001,ALLEGHENY ENERGY INC,10137,20045
19860402,T ROWE PRICE ASSOC INC,10138,8087
20001229,T ROWE PRICE GROUP INC,10138,8087
19880621,ADMIRAL FINANCIAL CORP,10139,9830
19860402,SEALRIGHT COMPANY INC,10140,8089
19860402,GANDER MOUNTAIN INC,10141,8090
19860403,IMTEC INC,10142,8091
19860403,ONCOGENE SCIENCE INC,10143,8092
19971001,O S I PHARMACEUTICALS INC,10143,8092
19860404,NATIONAL INSTITUTE CAREERS INC,10144,8058
19251231,ALLIED CHEMICAL & DYE CORP,10145,22168
19580428,ALLIED CHEMICAL CORP,10145,22168
19810428,ALLIED CORP,10145,22168
19850919,ALLIED SIGNAL INC,10145,22168
19991202,HONEYWELL INTERNATIONAL INC,10145,22168
19721214,APPLICATION ENGR CORP,10146,314
19820817,A E C INC,10146,314
19860404,E M C CORP MA,10147,8093
19860404,TRADITIONAL INDUSTRIES INC,10148,8094
19860404,EAGLE BANCSHARES INC,10149,8095
19860404,TRANS LEASING INTL INC,10150,8096
19971219,TLII LIQUIDATING CORP,10150,8096
20100709,ADVISORSHARES TRUST,10151,53202
19860408,ADVANCE DISPLAY TECHNOLOGIES INC,10152,8099
19251231,ALLIS CHALMERS CORP,10153,22169
19620702,ALLIS CHALMERS MFG CO,10153,22169
19710512,ALLIS CHALMERS CORP,10153,22169
19721214,AMERICAN ELECTR LABS INC,10154,81
19761001,A E L INDUSTRIES INC,10154,81
19860408,ELECTRIC & GAS TECHNOLOGY INC,10155,8079
19860408,HANSON JOHN S & L INC,10156,8100
19860828,HANSON JOHN SAVINGS BANK FSB,10156,8100
19901101,HANSON JOHN BANCORP INC,10156,8100
19860408,NORTH SIDE SAVINGS BANK BRONX,10157,8101
20100722,AMERESCO INC,10158,53454
19860409,INTERFERENCE CONTROL TECHS IND,10159,8103
19860410,SANDSPORT DATA SERVICES INC,10160,8105
19870730,SANDATA INC,10160,8105
20011130,SANDATA TECHNOLOGIES,10160,8105
19251231,AMERICAN METAL LTD,10161,20063
19571230,AMERICAN METAL CLIMAX INC,10161,20063
19740628,AMAX INC,10161,20063
19730112,A E S TECHNOLOGY SYSTEMS INC,10162,88
19860410,X RITE INC,10163,8106
19860410,CAMBRIDGE ANALYTICAL ASSOC INC,10164,8107
19860411,LAFAYETTE BANCORP INC,10165,8109
19860411,LONG LAKE ENERGY CORP,10166,8110
19860411,ENCHANTED VILLAGE INC,10167,6311
19860414,ARNOX CORP,10168,7814
19860414,SPORTS MARKETING INC,10169,8112
19860414,FAMILY STEAK HOUSES FL INC,10170,8113
19860414,CHARTWELL GROUP LTD,10171,8114
19860416,GRANITE COOP BK NORTH QUINCY MA,10172,8115
19860416,SEABOARD SAVINGS & L ASSN VA BCH,10173,8116
19901101,SEABOARD BANCORP INC,10173,8116
19860417,JEFFERSON NATIONAL BANK NY,10174,8117
19860417,BARRYS JEWELERS INC,10175,8118
19860418,THERMAL EXPLORATION CO,10176,8119
19860421,INVESTMENT RES & TECHNOLOGY INC,10177,8120
19860605,SPEAR FINANCIAL SERVICES INC,10177,8120
19930618,J M C GROUP INC,10177,8120
19990901,FECHTOR DETWILER MITCHELL & CO,10177,8120
20010327,DETWILER MITCHELL & CO,10177,8120
19860422,WESTERN PUBLISHING GROUP INC,10178,8121
19960509,GOLDEN BOOKS FAMILY ENT INC,10178,8121
19860422,ROCHESTER COMMUNITY SVGS BK NY,10179,8122
19950901,R C S B FINANCIAL INC,10179,8122
19880408,AKORN INC,10180,9743
19860422,MUNICIPAL DEVELOPMENT CORP,10181,8124
19860423,TECH DATA CORP,10182,8125
19860423,E R C INDUSTRIES INC,10183,10090
19880229,ALFA INTERNATIONAL CORP,10184,9699
19860424,MERRILL CORP,10185,8128
19860424,SOUTHWEST CAPITAL CORP,10186,8129
19860424,HEALTHPLEX INC,10187,7966
19251231,AMERICAN BOSCH MAGNETO CORP,10188,22170
19301217,UNITED AMERICAN BOSCH CORP,10188,22170
19380927,AMERICAN BOSCH CORP,10188,22170
19540721,AMERICAN BOSCH ARMA CORP,10188,22170
19680425,AMBAC INDUSTRIES INC,10188,22170
19721214,A F A PROTECTIVE SYSTEMS INC,10189,93
19860425,COLOROCS CORP,10190,8104
19860425,TEXCEL INTERNATIONAL INC,10191,8130
19860425,M S CARRIERS INC,10192,8131
19860428,RUBICON CORP,10193,8071
19921207,OSPREY HOLDING INC,10193,8071
19860428,SOMERSET GROUP INC,10194,8132
19860428,C TEC CORP,10195,1221
19971010,COMMONWEALTH TELE ENTRPS INC,10195,1221
19251231,AMERICAN & FGN PWR INC,10196,22171
19721214,A F C O A,10197,22172
19860428,DEL PAINT CORP,10198,8133
19860429,ARBOR DRUGS INC,10199,8134
19860429,REPLIGEN CORP,10200,8135
20100723,ATLANTIC POWER CORP,10201,53455
19860429,CAPITAL WIRE & CABLE CORP,10202,8137
19860430,PIONEER SAVINGS BANK INC NC,10203,8138
19881229,PIONEER BANCORP INC,10203,8138
19860501,UNITEL CORP,10204,8139
19860502,LAWRENCE SAVINGS BANK,10205,8140
19880108,INTREX FINANCIAL SERVICES INC,10205,8140
19911028,LAWRENCE SAVINGS BANK NEW,10205,8140
20010702,L S B CORP,10205,8140
19860502,EDUCATION SYSTEMS & PUB CORP,10206,8141
19880607,AMERICAS ALL SEASON FUND INC,10207,9806
19950518,ALL SEASONS GLOBAL FUND INC,10207,9806
19961107,ROYCE GLOBAL TRUST INC,10207,9806
19990510,ROYCE FOCUS TRUST INC,10207,9806
20150309,SPROTT FOCUS TRUST INC,10207,9806
19860505,INSTRUCTIVISION INC,10208,8143
19251231,AMERICAN AGRIC CHEM CO,10209,22173
19860505,FIRST FEDERAL SVGS BK GA WINDER,10210,8144
19860505,WESTCORP,10211,8145
19880411,WESTCORP INC,10211,8145
19860506,INFRASONICS INC,10212,7278
19860506,AMERICAN TRAVELLERS CORP,10213,8146
19860506,PLASTI LINE INC,10214,8147
19860507,UNITED STATES VIDEO VENDING CORP,10215,8052
19860507,TRILLING RESOURCES LTD,10216,7183
19871112,TRILLING MEDICAL TECHS INC,10216,7183
19910531,WATER JEL TECHNOLOGIES INC,10216,7183
19980224,X CEED INC,10216,7183
19990203,XCEED INC,10216,7183
20001129,WORLDWIDE XCEED GROUP INC,10216,7183
19251231,AMERICAN BANK NOTE CO,10217,22174
19801014,AUTOMATIC FILM PROCESS,10218,109
19821129,A F P IMAGING CORP,10218,109
19860507,TELESIS SYSTEMS CORP,10219,8148
20100802,BABCOCK & WILCOX CO NEW,10220,53456
20150701,B W X TECHNOLOGIES INC,10220,53456
19860507,IMAGE MANAGEMENT SYSTEMS INC,10221,8150
19860507,FRETTER INC,10222,8151
20100721,CAMELOT INFORMATION SYSTEMS INC,10223,53458
19860507,REGENCY CRUISES INC,10224,7611
19251231,AMERICAN TOB CO,10225,20067
19690701,AMERICAN BRANDS INC,10225,20067
19970602,FORTUNE BRANDS INC,10225,20067
20111004,BEAM INC,10225,20067
19721214,A G C INDUSTRIES INC,10226,22175
19860507,KIMMINS INDUSTRIAL SERVICE CORP,10227,8153
19860908,KIMMINS CORP,10227,8153
19860507,INTERFUND CORP,10228,8154
19860507,NORTH AMERICAN COMMUNS CORP NEW,10229,8155
19860508,ANDOVER SAVINGS BANK MASS,10230,8156
19871102,ANDOVER BANCORP INC DEL,10230,8156
19860508,COMMUNITY BANKSHARES INC NH,10231,8157
19860508,ELMIRA SAVINGS BANK FSB NY,10232,8158
20120605,ELMIRA SAVINGS BANK NY,10232,8158
19251231,FAMOUS PLAYERS LASKY CORP,10233,22176
19270401,PARAMOUNT FAMOUS LASKY CORP,10233,22176
19300424,PARAMOUNT PUBLIX CORP,10233,22176
19350828,PARAMOUNT PICTURES INC,10233,22176
19491231,UNITED PARAMOUNT THEATRES INC,10233,22176
19530209,AMERICAN BROADCASTING PARAMOUNT,10233,22176
19671212,AMERICAN BROADCASTING COS INC,10233,22176
19721214,A G M INDUSTRIES INC,10234,118
19860508,AMERICAN PASSAGE MRKTING CORP,10235,8159
19890227,SEATTLE FILMWORKS INC,10235,8159
20000201,PHOTOWORKS INC,10235,8159
19860508,WEBSTER CLOTHES INC,10236,8160
19860508,INTERNATIONAL SURGICAL & PHRM CP,10237,8161
19860509,BAY VIEW FED S & L ASSN CA,10238,8164
19890801,BAY VIEW CAPITAL CORP,10238,8164
20060501,GREAT LAKES BANCORP INC NEW,10238,8164
19860509,BALDWIN & LYONS INC,10239,714
20180801,PROTECTIVE INSURANCE CORP,10239,714
19860509,WOMENS HEALTH CNTRS OF AMER INC,10240,8167
19251231,AMERICAN CAN CO,10241,22177
19870428,PRIMERICA CORP,10241,22177
19860512,TRANS FINANCIAL BANCORP INC,10242,8168
19950510,TRANS FINANCIAL INC,10242,8168
19860512,ATLANTIC FEDERAL SAVINGS BANK MD,10243,8169
19881108,ATLANFED BANCORP INC,10243,8169
19860512,DASIBI ENVIRONMENTAL CORP,10244,8170
19891228,POLLUTION RESEARCH & CTRL CORP,10244,8170
19860513,SHELLY ASSOCIATES INC,10245,8171
19860513,MID SOUTH INSURANCE CO,10246,8172
19860513,GANTOS INC,10247,8173
19950403,GANTOS INC NEW,10247,8173
19860513,CIMCO,10248,8174
19870925,CIMCO INC,10248,8174
19860513,SPORTSMANS GUIDE INC,10249,8175
19860513,MERIDIAN NATIONAL CORP,10250,8176
19860514,FIRST AMERN SVGS F A PA,10251,8178
19890616,FLAGSHIP FINANCIAL CORP,10251,8178
19860514,INDEPENDENT BANK CORP MA,10252,8179
19860514,THOROUGHBREDS USA INC,10253,7922
19860915,NEW SKY COMMMUNICATIONS INC,10253,7922
20040422,DOCUMENT SECURITY SYSTEMS INC,10253,7922
20211001,D S S INC,10253,7922
19860514,STERLING INC,10254,8180
19860515,VERTICOM INC,10255,8182
19860515,OLD DOMINION SYSTEM INC,10256,8183
19891020,MICROLOG CORP,10256,8183
19860515,DIGITAL SOLUTIONS INC,10257,8185
19990216,TEAMSTAFF INC,10257,8185
20120627,D L H HOLDINGS CORP,10257,8185
19860515,T CELL SCIENCES INC,10258,8186
19980824,AVANT IMMUNOTHERAPEUTICS INC,10258,8186
20081001,CELLDEX THERAPEUTICS INC,10258,8186
19860515,SIGMA DESIGNS INC,10259,8187
19860515,ALLSTAR VIDEO INC,10260,8188
19860515,MOUNTAINEER BANKSHARES WV,10261,8189
19860516,COGNITIVE SYSTEMS INC,10262,8190
19860516,LOWELL INSTITUTION FOR SAVINGS,10263,8192
19871006,MERRIMACK BANCORP INC MA,10263,8192
19860516,UNIVATION INC,10264,8191
19860516,F & M FINANCIAL SVCS CORP,10265,8193
19860516,WALTHAM SAVINGS BANK,10266,8194
19871002,WALTHAM CORP,10266,8194
19910513,STERLING BANCSHARES CORP,10266,8194
19860516,NIAGARA EXCHANGE CORP,10267,8195
19251231,AMERICAN ICE CO,10268,22178
19610922,AMERICAN CONSUMER INDS INC,10268,22178
19830721,A I A INDUSTRIES INC,10269,6202
19860516,SAVECO INC,10270,8196
19860528,MASSBANK FOR SAVINGS,10271,8197
19861202,MASSBANK CORP,10271,8197
19860516,TEKELEC,10272,8198
19860519,LANDMARK BANK FOR SAVINGS MA,10273,8199
19860519,BETA PHASE INC,10274,8200
19860519,SENETEK PLC,10275,8201
19251231,AMERICAN BEET SUGAR CO,10276,22179
19340809,AMERICAN CRYSTAL SUGAR CO,10276,22179
19721214,A I D INC DE,10277,134
19860520,HENLEY GROUP INC,10278,8166
19890103,WHEELABRATOR GROUP INC,10278,8166
19890825,WHEELABRATOR TECHNOLOGIES INC NW,10278,8166
19860520,GENETICS INSTITUTE INC,10279,8202
19860520,PROTOCOM DEVICES INC,10280,8203
19860520,AUTOINFO INC,10281,8204
19860521,BRENDLES INC,10282,8205
19860521,APPLIED OPTICS INC,10283,8206
19251231,AMERICAN EXPRESS CO,10284,90
19811029,A I M TELEPHONES INC,10285,5148
19860521,PROSPECT GROUP INC,10286,8208
19860520,A T I MEDICAL INC,10287,8209
19860522,BEAR AUTOMOTIVE SVC EQUIP CO,10288,8210
19880405,ANGIO MEDICAL CORP,10289,9134
19860523,HARLEYSVILLE GROUP INC,10290,8212
19860527,FAMIGLIA INDUSTRIES INC,10291,8177
19880225,FAMIGLIA BRANDS INC,10291,8177
19251231,AMERICAN CHICLE CO,10292,22181
19830615,A I N LEASING CORP,10293,6069
19860527,HAVERTY FURNITURE COS INC,10294,2089
19860527,MICRO MEMBRANES INC,10295,8215
19860527,GRENADA SUNBURST SYS CORP,10296,8216
19860527,LAKE SUNAPEE SVNG BANK FSB,10297,8217
19890707,NEW HAMPSHIRE THRIFT BNCSHRS INC,10297,8217
20150601,LAKE SUNAPEE BANK GROUP,10297,8217
19860527,AQUASCIENCES INTERNATIONAL INC,10298,8218
19860528,LINEAR TECHNOLOGY CORP,10299,8220
19860528,WORLDWIDE COMPUTER SVCS INC,10300,8219
19860529,TRANSFORM LOGIC CORP,10301,8221
19860529,CYPRESS SEMICONDUCTOR CORP,10302,8222
19860529,PRIME CAPITAL CORP,10303,8223
19860529,AMCORE FINANCIAL INC,10304,8224
19251231,AMERICAN DRUGGISTS SYND,10305,22182
19721214,A I T S INC,10306,145
19860529,MODULAR TECHNOLOGY INC,10307,8226
19881102,MILLER BUILDING SYSTEMS INC,10307,8226
19860602,TOMPKINS COUNTY TRUST CO NY,10308,8228
19960102,TOMPKINS COUNTY TRUSTCO INC,10308,8228
19990514,TOMPKINS TRUSTCO INC,10308,8228
20070604,TOMPKINS FINANCIAL CORP,10308,8228
19860602,SKANEATELES SAVINGS BANK NY,10309,8229
19900418,CENTER BANKS INC,10309,8229
19970416,SKANEATELES BANCORP INC,10309,8229
19860602,WORLDGROUP COMPANIES INC,10310,8230
19860603,ALLISONS PLACE INC,10311,8231
19860603,PREMIER TECHNOLOGY HOLDING INC,10312,8232
19251231,AMERICAN INTERNATIONAL CORP,10313,22183
19801007,AM CABLE TV INDS INC,10314,255
19861223,A M COMMUNICATIONS INC,10314,255
19860603,NETWORK VIDEO INC,10315,8233
19860603,CAMERA PLATFORMS INTL INC,10316,8234
19860603,TEL MAN INC,10317,8235
19870102,SOUTHERNNET INC,10317,8235
19860603,BALCHEM CORP,10318,8237
19860604,MID HUDSON SVGS BK FSB FISHKILL,10319,8240
19891221,FIRST INTER BANCORP INC,10319,8240
19860604,AMERICAN BIONETICS INC,10320,8239
19251231,NASH MOTORS CO,10321,22184
19370108,NASH KELVINATOR CORP,10321,22184
19540503,AMERICAN MOTORS CORP,10321,22184
19860604,BROOKFIELD FED BANK FOR SVGS IL,10322,8241
19880801,BROOKFIELD BANCSHARES CORP,10322,8241
19860605,COMPUTER AIDED TIME SHARE INC,10323,8242
19860605,GENZYME CORP,10324,8243
19860605,BAKER J INC,10325,8244
20010227,CASUAL MALE CORP MASS,10325,8244
19860605,NYTEST ENVIRONMENTAL INC,10326,8245
19860605,UNITED SAVINGS BANK SALEM,10327,8246
19860605,HANA BIOLOGICS INC,10328,8248
19910318,SOMATIX THERAPY CORP,10328,8248
19860606,STATESWEST AIRLINES INC,10329,8250
19860606,NEW STAR ENTERTAINMENT INC,10330,8249
19860606,TOWER FEDERAL SAVINGS BANK IN,10331,8251
19860606,NATURAL ORGANICS CORP,10332,8252
19871229,CLASSIC AUTO ACCESSORIES N AMER,10332,8252
19880822,F C R AUTOMOTIVE GROUP INC,10332,8252
19860606,XOMA CORP,10333,8254
19990104,XOMA LTD,10333,8254
20120103,XOMA CORP,10333,8254
19860606,CAL STAR FINANCIAL SVCS INC,10334,8255
19860609,SUN STATE S & L ASSN PHOENIX AZ,10335,8256
19860609,COIN PHONES INC,10336,8259
19860609,PALM SPRINGS SAVINGS BANK,10337,8260
19880628,APOLLO S & L CO CINCINNATTI OH,10338,9839
19860610,AMITY BANK CT,10339,8262
19870225,AMITY BANCORP INC,10339,8262
19930712,C B C BANCORP INC,10339,8262
19860610,FIRST GRANITE BANCORP INC IL,10340,8263
19860610,ABINGTON SAVINGS BANK MASS,10341,8264
19880201,ABINGTON BANCORP INC,10341,8264
19921230,ABINGTON SAVINGS BANK,10341,8264
19970131,ABINGTON BANCORP INC NEW,10341,8264
19860610,INAMED CORP,10342,8265
19860610,INFINITY BROADCASTING CORP,10343,8266
19860610,LINCOLN FOODSERVICE PRODS INC,10344,8267
19860610,CROWLEY FINANCIAL SVCS INC,10345,8269
19860610,312 FUTURES INC,10346,8270
19860829,JACK CARL 312 FUTURES INC,10346,8270
19970603,I F X CORP,10346,8270
19880122,APPLIED SPECTRUM TECHN INC,10347,9659
19251231,AMERICAN LA FRANCE FIRE ENGINE,10348,22185
19271115,AMERICAN LA FRANCE FOAMITE CORP,10348,22185
19721214,AMERICAN FID LIFE INS CO,10349,101
19820730,A M F I CORP,10349,101
19860610,MEDPHONE CORP,10350,8273
19860610,PSICOR INC,10351,8274
19860611,MARIETTA CORP,10352,8276
